"P,L,X,X,U,N,LH,N",4.6
"L,H,X,X,U,N,H,N",4.7
"X,H,X,X,C,N,N,N",-1
"P,H,X,X,C,H,N,N",4.9
"X,H,X,X,U,N,N,H",5.9
"N,H,X,X,C,N,N,N",-1
"N,L,X,X,C,N,N,N",-1
"N,L,X,X,U,N,N,H",7.5
"L,H,X,X,U,N,N,LH",4.7
"X,H,X,X,U,N,N,LH",5.9
"P,H,X,X,C,N,N,LH",-1
"L,L,X,X,C,H,N,N",6.5
"X,L,X,X,U,N,N,H",6.5
"X,H,X,X,U,N,LH,N",5.9
"N,L,X,X,C,N,LH,N",6.8
"L,H,X,X,C,H,N,N",5.6
"P,H,X,X,U,N,H,N",4.2
"P,H,X,X,C,N,N,H",-1
"L,H,X,X,U,N,LH,N",4.7
"P,H,X,X,C,LH,N,N",4.9
"L,H,X,X,U,N,N,N",-1
"N,L,X,X,U,LH,N,N",6.5
"N,L,X,X,C,N,N,LH",8.6
"P,L,X,X,C,N,N,H",-1
"L,L,X,X,U,N,N,N",-1
"P,L,X,X,U,N,H,N",4.6
"P,L,X,X,C,N,LH,N",-1
"L,H,X,X,C,N,N,LH",5.6
"X,H,X,X,C,N,H,N",6.8
"X,L,X,X,C,N,H,N",7.4
"N,H,X,X,C,N,N,H",6.8
"N,L,X,X,U,N,N,N",-1
"N,L,X,X,U,H,N,N",7.5
"N,H,X,X,U,N,N,N",-1
"N,L,X,X,C,LH,N,N",7.4
"P,L,X,X,C,N,N,LH",-1
"L,H,X,X,C,N,LH,N",4.199999999999999
"P,L,X,X,U,LH,N,N",4.6
"N,L,X,X,C,N,N,H",8.6
"X,H,X,X,C,LH,N,N",5.6
"N,H,X,X,U,N,LH,N",5.9
"L,H,X,X,C,N,N,H",5.6
"X,H,X,X,C,N,LH,N",6.1
"P,H,X,X,U,H,N,N",4.2
"P,H,X,X,U,N,N,N",-1
"N,H,X,X,U,N,H,N",5.9
"P,L,X,X,U,H,N,N",4.6
"P,L,X,X,U,N,N,LH",4.6
"X,H,X,X,U,LH,N,N",5.3
"X,H,X,X,C,N,N,LH",6.1
"X,L,X,X,C,N,N,N",-1
"L,L,X,X,C,N,N,H",6.5
"L,H,X,X,U,LH,N,N",4.7
"P,L,X,X,U,N,N,N",-1
"L,L,X,X,U,N,H,N",5.5
"N,H,X,X,U,LH,N,N",5.9
"X,L,X,X,U,LH,N,N",6.5
"X,L,X,X,C,H,N,N",7.4
"P,L,X,X,C,LH,N,N",5.3
"X,H,X,X,C,H,N,N",5.6
"L,H,X,X,U,N,N,H",4.7
"N,H,X,X,C,H,N,N",6.8
"L,H,X,X,C,LH,N,N",5.6
"N,H,X,X,C,N,N,LH",6.55
"X,L,X,X,C,N,LH,N",6.8
"N,L,X,X,C,H,N,N",8.6
"N,L,X,X,U,N,H,N",7.5
"L,L,X,X,C,N,LH,N",6.4
"X,L,X,X,U,N,H,N",7.5
"L,L,X,X,C,N,N,N",-1
"X,H,X,X,U,N,H,N",5.9
"P,H,X,X,C,N,H,N",-1
"L,L,X,X,U,N,N,LH",5.5
"P,H,X,X,U,N,N,H",4.2
"P,L,X,X,U,N,N,H",4.6
"N,H,X,X,U,N,N,LH",5.9
"N,H,X,X,U,H,N,N",5.9
"L,H,X,X,C,N,N,N",-1
"L,L,X,X,U,H,N,N",5.5
"L,L,X,X,U,N,LH,N",5.5
"X,L,X,X,U,N,LH,N",6.5
"N,H,X,X,C,N,LH,N",6.449999999999999
"P,L,X,X,C,N,H,N",-1
"X,L,X,X,C,N,N,H",6.8
"N,L,X,X,C,N,H,N",7.4
"N,H,X,X,C,LH,N,N",6.1
"N,H,X,X,C,N,H,N",6.8
"X,H,X,X,C,N,N,H",6.1
"X,L,X,X,C,LH,N,N",6.5
"L,H,X,X,U,H,N,N",4.7
"X,L,X,X,U,N,N,LH",6.5
"X,H,X,X,U,H,N,N",5.9
"X,H,X,X,U,N,N,N",-1
"P,H,X,X,U,LH,N,N",4.2
"N,L,X,X,U,N,N,LH",7.5
"P,H,X,X,U,N,N,LH",4.2
"L,H,X,X,C,N,H,N",5.6
"L,L,X,X,U,LH,N,N",5.5
"L,L,X,X,C,N,N,LH",6.5
"P,H,X,X,C,N,LH,N",-1
"N,L,X,X,U,N,LH,N",6.5
"L,L,X,X,C,LH,N,N",6.5
"N,H,X,X,U,N,N,H",5.9
"X,L,X,X,C,N,N,LH",6.8
"X,L,X,X,U,H,N,N",6.5
"P,L,X,X,C,N,N,N",-1
"P,H,X,X,U,N,LH,N",4.2
"X,L,X,X,U,N,N,N",-1
"P,L,X,X,C,H,N,N",5.3
"P,H,X,X,C,N,N,N",-1
"L,L,X,X,C,N,H,N",6.4
"L,L,X,X,U,N,N,H",5.5
